ID,Purpose,Genre,Sub-genre,Subject,Themes/Uses,Keywords,Collection,Physical type,Title,Sub-title,Translated-title,PALM code,Related (same),Related (omnibus),Related (support),Related (translated),Year,Author,Author2,Author3,Other creator,Other creator ROLE,Other creator2,Other creator2 ROLE,Illustrator,Illustrator2,Illustrator3,Illustrator4,Illustrator5,Publisher,Contributor / Project / Partner,Pages,Language 1,ISO (Language 1),Language 2,ISO (Language 2),Island,State,Learner level,VLA standard,VLA benchmark,TOC,Notes related to the issue.,Notes related to version.,Notes related to content.,DESCRIPTION,ABSTRACT,UPLOADED,DIGITAL SOURCE (WHERE IS THE PDF FROM),DOCUMENT FILENAME,THUMBNAIL FILENAME,Name match check,ALTERNATIVE DOCUMENT FILENAME,ALTERNATIVE THUMBNAIL FILENAME,ALTERNATIVE DIGITAL SOURCE (WHERE IS THE PDF FROM),Coupled audio,Coupled video,CONTACT,Library link UH,Library link UH alt.,Library link COM-FSM,Library link COM-FSM alt.,Library link MARC,Library link MARC alt.,Library link MICSEM,Library link MICSEM alt.,Library link 5,Library link 5 alt.,OLLC number,ISBN number,Temporary
books.internal_id,classification_values.value,classification_values.value,classification_values.value,classification_values.value,classification_values.value,book_keywords.keyword,collections.name,books.physical_type,books.title,books.subtitle,books.translated_title,books.palm_code,book_relationships.relationship_code,book_relationships.relationship_code,book_relationships.relationship_code,book_relationships.relationship_type,books.publication_year,creators.name,creators.name,creators.name,creators.name,book_creators.role_description,creators.name,book_creators.role_description,creators.name,creators.name,creators.name,creators.name,creators.name,publishers.name,publishers.program_name,books.pages,languages.name,languages.code,languages.name,languages.code,geographic_locations.name,geographic_locations.name,classification_values.value,books.vla_standard,books.vla_benchmark,books.toc,books.notes_issue,??????,books.notes_content,??????,books.description,books.access_level,book_files.digital_source,book_files.filename,book_files.filename,[NOT_STORED],book_files.filename,book_files.filename,book_files.digital_source,book_files.filename,book_files.external_url,books.contact,library_references.reference_number,library_references.catalog_link,library_references.call_number,??????,??????,??????,??????,??????,??????,??????,??????,??????,[NOT_STORED]
P001-a,Literacy development,Narrative readers,Developing and fluent readers,Everyday stories,,,Pacific Area Language Materials (PALM),Narrative reader,Áán átin mwáán we pikinik,(trial version),[Boys at the picnic],TAW14,P001,,,*TRUE if Translated-title identical*,1979,"William, Alvios",,,,,,,"Layne, Chris",,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,8,Chuukese,chk,,,Chuuk Lagoon,Chuuk State,,,,,,"""Trial version"" stamped on covers.",,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Chuukese and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.","This booklet is a narrative telling the story of a picnic at South Field. It follows a group of students as they take part in fun activities, face small challenges, and work together as a team. The story is brought to life through engaging illustrations that support the scenes and emotions described. Throughout the narrative, readers see moments of joy, cooperation, and problem-solving. In the end, the story carries a meaningful lesson, highlighting values such as friendship, teamwork, and perseverance.",Y,PDF downloaded by iREi (2025) from UH Scholar Space (https://hdl.handle.net/10125/42190).,PALM - Printed [Trial version] - CHUUKESE - Áán átin mwáán we Pikinik,PALM - Printed [Trial version] - CHUUKESE - Áán átin mwáán we Pikinik,TRUE,,,,,,irei@islandresearch.org,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma9929898474605682,,,,,,,,,,,,
P001-d,Literacy development,Narrative readers,Developing and fluent readers,Everyday stories,,,PALM CD,Narrative reader,Áán átin mwáán we pikinik,(CD-ROM version),[Boys at the picnic],TAW14,P001,,,*TRUE if Translated-title identical*,1999,"William, Alvios",,,,,,,"Layne, Christopher D.",,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,n/a,Chuukese,chk,,,Chuuk Lagoon,Chuuk State,,,,, ,,,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Chuukese and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.","This booklet is a narrative telling the story of a picnic at South Field. It follows a group of students as they take part in fun activities, face small challenges, and work together as a team. The story is brought to life through engaging illustrations that support the scenes and emotions described. Throughout the narrative, readers see moments of joy, cooperation, and problem-solving. In the end, the story carries a meaningful lesson, highlighting values such as friendship, teamwork, and perseverance.",Y,"PDF created by iREi (2025) by extracting and formatting content from the PALM CD-ROM (1999), a collection of educational materials in Carolinian, Chamorro, Chuukese, Kosraen, Marshallese, Palauan, Pohnpeian, Samoan, Ulithian, Woleaian, and Yapese languages.T",PALM CD - Chuukese - Áán átin mwáán we pikinik,PALM CD - Chuukese - Áán átin mwáán we pikinik,TRUE,,,,,,irei@islandresearch.org,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma9921588724605682,,http://library.comfsm.fm/webopac/titleinfo?k1=1043599&k2=51499,,,,,,,,,,
P002-a,Literacy development,Narrative readers,Developing and fluent readers,Fables,,,Pacific Area Language Materials (PALM),Narrative reader,Áán nipwpwey we chúnnúmei,(trial version),[The crab's trap],TAW15,P002,,,*TRUE if Translated-title identical*,1979,"William, Alvios",,,,,,,"Saffery, Peter",,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,TBD,Chuukese,chk,,,Chuuk Lagoon,Chuuk State,,,,, ,"""Trial version"" stamped on covers.",,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Chuukese and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.",  ,N,,,,TRUE,,,,,,irei@islandresearch.org,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma9929898474605682,,,,,,,,,,,,
P002-d,Literacy development,Narrative readers,Developing and fluent readers,Fables,,,PALM CD,Narrative reader,Áán nipwpwey we chúnnúmei,(CD-ROM version),[The crab's trap],TAW15,P002,,,*TRUE if Translated-title identical*,1999,"William, Alvios",,,,,,,"Saffery, Peter",,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,n/a,Chuukese,chk,,,Chuuk Lagoon,Chuuk State,,,,, ,,,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Chuukese and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.",  ,Y,"PDF created by iREi (2025) by extracting and formatting content from the PALM CD-ROM (1999), a collection of educational materials in Carolinian, Chamorro, Chuukese, Kosraen, Marshallese, Palauan, Pohnpeian, Samoan, Ulithian, Woleaian, and Yapese languages.T",PALM CD - Chuukese - Áán nipwpwey we chúnnúmei,PALM CD - Chuukese - Áán nipwpwey we chúnnúmei,TRUE,,,,,,irei@islandresearch.org,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma9921588724605682,,http://library.comfsm.fm/webopac/titleinfo?k1=1043599&k2=51499,,,,,,,,,,
P003-a,Literacy development,Narrative readers,Developing and fluent readers,Everyday stories,,,Pacific Area Language Materials (PALM),Narrative reader,Aan Tamis aneyan,(trial version),[Tamis' wish],TPJ8,P003,,,*TRUE if Translated-title identical*,1979,"Johnny, Rioichy",,,,,,,"Layne, Christopher D.",,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,TBD,Chuukese,chk,,,Chuuk Lagoon,Chuuk State,,,,, ,"""Trial version"" stamped on covers.",,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Chuukese and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.",  ,N,,,,TRUE,,,,,,irei@islandresearch.org,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma9919301754605682,,,,,,,,,,,,
P003-d,Literacy development,Narrative readers,Developing and fluent readers,Everyday stories,,,PALM CD,Narrative reader,Aan Tamis aneyan,(CD-ROM version),[Tamis' wish],TPJ8,P003,,,*TRUE if Translated-title identical*,1999,"Johnny, Rioichy",,,,,,,"Layne, Christopher D.",,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,n/a,Chuukese,chk,,,Chuuk Lagoon,Chuuk State,,,,, ,,,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Chuukese and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.",  ,Y,"PDF created by iREi (2025) by extracting and formatting content from the PALM CD-ROM (1999), a collection of educational materials in Carolinian, Chamorro, Chuukese, Kosraen, Marshallese, Palauan, Pohnpeian, Samoan, Ulithian, Woleaian, and Yapese languages.T",PALM CD - Chuukese - Aan Tamis aneyan,PALM CD - Chuukese - Aan Tamis aneyan,TRUE,,,,,,irei@islandresearch.org,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma9921588724605682,,http://library.comfsm.fm/webopac/titleinfo?k1=1043599&k2=51499,,,,,,,,,,
P004-c,Core instructional,Textbook readers and textbooks,Social studies,Place and community,,,Pacific Area Language Materials (PALM),Textbook reader,Acn sesr un pa Kosrae  ,,[Kosrae is our home],KJS4,P004,,,*TRUE if Translated-title identical*,1980,"Sabino, Johnny",,,,,,,"Tseu, Maria",,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,39,Kosraean,kos,,,Kosrae,Kosrae State,,,,, ,,,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Kosraean and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.","This book introduces Kosrae, an island in the Federated States of Micronesia, through a concise description of its geography, culture, local customs, and natural resources. Aimed at young local readers, the book includes simple illustrations that help enhance understanding and is well-suited for anyone interested in learning more about Kosrae.",N,,,,TRUE,,,,,,irei@islandresearch.org,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma995330084605682,,,,,,,,,,,,
P004-d,Core instructional,Textbook readers and textbooks,Social studies,Place and community,,,PALM CD,Textbook reader,Acn sesr un pa Kosrae,(CD-ROM version),[Kosrae is our home],KJS4,P004,,,*TRUE if Translated-title identical*,1999,"Sabino, Johnny",,,,,,,"Tseu, Maria",,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,n/a,Kosraean,kos,,,Kosrae,Kosrae State,,,,"TABLE OF CONTENTS: [1] Acn Kosrae -- [2] Moul Fin Acn Kosrae -- [3] Luhman Orek Oak Kosrae Uh -- [4] Finohl Fin Acn Kosrae -- [5] Insack Fin Acn Kosrae -- [6] Meoa, Finwe Ac Inluhluh Kosrae", ,,,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Kosraean and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.","This book introduces Kosrae, an island in the Federated States of Micronesia, through a concise description of its geography, culture, local customs, and natural resources. Aimed at young local readers, the book includes simple illustrations that help enhance understanding and is well-suited for anyone interested in learning more about Kosrae.",Y,"PDF created by iREi (2025) by extracting and formatting content from the PALM CD-ROM (1999), a collection of educational materials in Carolinian, Chamorro, Chuukese, Kosraen, Marshallese, Palauan, Pohnpeian, Samoan, Ulithian, Woleaian, and Yapese languages.T",PALM CD - Kosraean - Acn sesr un pa Kosrae,PALM CD - Kosraean - Acn sesr un pa Kosrae,TRUE,,,,,,irei@islandresearch.org,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma9921588724605682,,http://library.comfsm.fm/webopac/titleinfo?k1=1043599&k2=51499,,,,,,,,,,
P005-c,Core instructional,Textbook readers and textbooks,Social studies,Place and community,,,Pacific Area Language Materials (PALM),Textbook reader,"Acn sihk—unit 1, 2, 3, 4",,"[Our place—unit 1, 2, 3, 4]",KSS3,P005,,,*TRUE if Translated-title identical*,1982,"Saimon, Josaiah",,,,,,,"Goodenow, Joy L.",,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,139,Kosraean,kos,,,Kosrae,Kosrae State,,,,, ,,,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Kosraean and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.",  ,Y,PDF downloaded by iREi (2025) from UH Scholar Space (https://hdl.handle.net/10125/42190).,"PALM - Printed - KOSRAEAN - Acn sihk - unit 1, 2, 3, 4","PALM - Printed - KOSRAEAN - Acn sihk - unit 1, 2, 3, 4",TRUE,,,,,,irei@islandresearch.org,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma995354924605682,,,,,,,,,,,,
