ID,Purpose,Area,Genre,Sub-genre,Subject,Keywords,Collection,Type,Title,Sub-title,Translated-title,PALM code,Related (same),Related (omnibus),Related (support),Year,Author,Other creator1,Other creator1 ROLE,Other creator2,Other creator2 ROLE,Other creator3,Other creator3 ROLE,Illustrator,Publisher,Contributor / Project / Partner,Pages,Language 1,ISO (Language 1),Language 2,ISO (Language 2),Island,State,Learner level,VLA standard,VLA benchmark,TOC,Notes related to the issue.,Notes related to version.,Notes related to content.,DESCRIPTION,ABSTRACT,LEVEL,DOCUMENT FILENAME,THUMBNAIL FILENAME,DIGITAL SOURCE (WHERE IS THE PDF FROM),ALTERNATIVE DOCUMENT FILENAME,ALTERNATIVE THUMBNAIL FILENAME,ALTERNATIVE DIGITAL SOURCE (WHERE IS THE PDF FROM),Uploaded audio,Uploaded video,External video link,External web page link,CONTACT,Library UH link,Library UH comment,Library COM link,Library COM comment,Library UOG link,Library UOG comment,Library MICSEM link,Library MICSEM comment,OLLC number,ISBN number,COM call number
1000,Knowledge expansion,Language arts and culture,Academic research,Research theses,"Traditions, customs, and beliefs",Chants|Liamweiwei,Not grouped in a collection,Master’s thesis,"A History and Some Traditions of Pingelap, an Atoll in the Eastern Caroline Islands",,,,,,,1977,"Newcomb Hurd, Jane",,,,,,,,University of Hawaii,,146,English,eng,Pingelapese,pif,Pingelap,Pohnpei State,,,,,,,,Contains transcription of Liamweiwei chant and other fundamentals of Pingelapese culture,,Y,Hurd 1977 - A History and Some Traditions of Pingelap,Hurd 1977 - A History and Some Traditions of Pingelap,Digital document courtesy of Pohnpei State Historic Preservation Office.,,,,,,,,,,,,,,,,,,,
1001,Knowledge expansion,Language arts and culture,Academic research,Research theses,History,,Not grouped in a collection,PhD dissertation,Upon a Stone Altar,A History of the Island of Ponape from the Beggings of Foreign Contact to 1890,,,STONE-ALTAR,,,1984,"Hanlon, David",,,,,,,,University of Hawaii,,446,English,eng,Pohnpeian,pon,Pohnpei,Pohnpei State,,,,,,,,,,Y,Hanlon 1984 Upon a Stone Altar thesis,Hanlon 1984 Upon a Stone Altar thesis,PDF downloaded by iREi (2025) from the University of Hawaii archives.,,,,,,,,,,,,,,,,,,,
1002,Knowledge expansion,Language arts and culture,"Cultural content books, compilations, and reports",Cultural readers,"Traditions, customs, and beliefs",Traditional titles|Traditional leadership,Not grouped in a collection,Content reader,Book en Kasukuhl en Tiahk nan Weiso en Wein U,,[Cultural reference book for the municipality of Uh],,,,,1992,"Kihleng, Frederick|Joseph, Ihlen",,,,,,,,Municipality of U,,19,Pohnpeian,pon,,,Pohnpei,Pohnpei State,,,,,,,,,,Y,Wein U 1992 Book en Kasukuhl en Tiah nan Weiso en Wein U,Wein U 1992 Book en Kasukuhl en Tiah nan Weiso en Wein U,"Digital document encountered online, from an uncertain source.",,,,,,,,,,,,,,,,,,,
1003,Supplementary / Enrichment,Music and arts,Reference,Musical reference,Songs,,Not grouped in a collection,Songbook,Songs of the Federated States of Micronesia,,,,,,,2007,,"Meyer, Daniel C.",Transcribed by,,,,,,College of Micronesia – FSM,,172,Chuukese|Kosraean|Pohnpeian|Yapese|Nukuoro|Kapingamarangi|Pingelapese|Mwoakilloa|Mortlockese|Sapwuahfikese|Puluwatese|Satawalese|Woleaian,chk|kos|pon|yap|nkr|kpg|pif|mk|mrl|puw|stw|woe,English,eng,,,,,,,,,"Songs in vernacular with English translations from Kosrae, Pohnpei, Chuuk and Yap states. The songs are arranged by state from east to west (Kosrae, Pohnpel, Chuuk and Yap). Within each state, the songs are arranged alphabetically. Each song includes pronunciation, translation and a brief description.","This collection contains transcriptions of folk and popular songs from many of the islands in the Federated States of Micronesia. The songs were recorded, translated and proofread by students at the Yap State Campus and the National Campus of the College of Micronesia 2004-2007. All transcriptions were done by Daniel C. Meyer.",,Y,Songs of the Federated States of Micronesia,Songs of the Federated States of Micronesia,"PDF created by iREi (2025). Digitized from the binder courtesy of the COM-FSM Library, with special thanks to librarian Scarlett Lebehn. Scanning conducted by Belinda Welles in Pohnpei in November 2025.",,,,,,,,,,,http://library.comfsm.fm/webopac/titleinfo?k1=1204934&k2=148029,,,,,,,,
1004,Knowledge expansion,Language arts and culture,Reference,Language reference,Wordlists,Fish names,Not grouped in a collection,Poster,Woleaian fish names,,,,,,,,,,,,,,,,,,1,Woleaian,woe,,,Woleai|Eauripik|Ifalik|Faraulap|Elato|Lamotrek,Yap State,,,,,,,,,,Y,Poster - WOLEAIAN - fish names,Poster - WOLEAIAN - fish names,"PDF created by iREi (2025). Digitized from a hard copy courtesy of the Micronesian Seminar Library, with special thanks to librarian Melba Veloso. Scanning conducted by Aden Suwel and Koh Ming Wei in Yap in March 2025.",,,,,,,,,,,,,,,,,,,
1005,Knowledge expansion,Science and mathematics,Academic research,Research reports,Ethnomathematics,,Not grouped in a collection,Research report,"The Ethnomathematics of Mwoakilloa Atoll, Micronesia",,,,,,,2004,"Hicks, Barbara|Nagaoka, Takuya",,,,,,,,Pacific Resources for Education and Learning,Ethnomathematics Digital Library,26,English,eng,Mwoakilloa,mkj,Mwoakilloa,Pohnpei State,,,,,,,,,,Y,"Hicks B and Nagaoka T 2004 The Ethnomathematics of Mwoakilloa Atoll, Micronesia","Hicks B and Nagaoka T 2004 The Ethnomathematics of Mwoakilloa Atoll, Micronesia",Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1006,Knowledge expansion,Language arts and culture,"Cultural content books, compilations, and reports",Cultural readers,"Traditions, customs, and beliefs",,Not grouped in a collection,Monograph,Kapingamarangi – Social and Religious Life of a Polynesian Atoll,Bernice P. Bishop Museum Bulletin 228,,,,,,1965,"Emory, Kenneth P.",,,,,,,,Bernice P. Bishop Museum,,357,English,eng,,,Kapingamarangi,Pohnpei State,,,,,,,,,,Y,Emory KP 1965 - Kapingamarangi - Social and religious life of a Polynesian atoll,Emory KP 1965 - Kapingamarangi - Social and religious life of a Polynesian atoll,PDF downloaded by iREi (2025) from the JSTOR archives (www.jstor.org).,,,,,,,,,,,,,,,,,,,
1007,Knowledge expansion,Language arts and culture,"Cultural content books, compilations, and reports",Traditional literature,Legends and oral history,,Not grouped in a collection,Story anthology,Tales from Ulithi Atoll – A Comparative Study in Oceanic Folklore,Folklore and Mythology Studies 13,,,,ULITHI-TALES,,1961,"Lessa, William A.",,,,,,,,University of California,,493,English,eng,,,Ulithi,Yap State,,,,,,,,,,Y,Lessa WA 1961 - Tales from Ulithi Atoll,Lessa WA 1961 - Tales from Ulithi Atoll,,,,,,,,,,,,,,,,,,,,
1008,Knowledge expansion,Language arts and culture,"Cultural content books, compilations, and reports",Traditional literature,Legends and oral history,,Not grouped in a collection,Story anthology,More Tales from Ulithi Atoll – A Content Analysis,Folklore and Mythology Studies 38,,,,ULITHI-TALES,,1980,"Lessa, William A.",,,,,,,,University of California,,154,English,eng,,,Ulithi,Yap State,,,,,,,,,,Y,Lessa WA 1980 - More tales from Ulithi Atoll,Lessa WA 1980 - More tales from Ulithi Atoll,,,,,,,,,,,,,,,,,,,,
1009,Knowledge expansion,Language arts and culture,Academic research,Research presentations,Linguistics,Micronesian English,Not grouped in a collection,Research report,English in paradise,Emergent varieties in Micronesia [presentation chart],,,,,,2016,"Bürki, Dominique|Kuske, Eva|Leonhardt, Tobias|Lynch, Sara|Mettler, Laura",,,,,,,,University of Bern,,1,English,eng,,,,,,,,,,,,,,Y,Leonhardt Tobias et al 2016 English in paradise - Emergent varieties in Micronesia [presentation chart],Leonhardt Tobias et al 2016 English in paradise - Emergent varieties in Micronesia [presentation chart],"Digital document encountered online, from an uncertain source.",,,,,,,,,,,,,,,,,,,
